,auto_correlation_50,change_quantiles,cid_ce,longest_strike_above,longest_strike_below,number_peaks,q_01,q_75,q_90,start,target
0,0.2534680792935789,0.018038624249692797,147.47699085603244,1444.0,1866.0,6210.0,-12.172721248555833,0.3850753902969392,2.394777831326208,0.0,1.4307971859
1,0.22750844371981752,0.011655829658561188,139.7154899497135,1601.0,1771.0,6116.0,-15.172873358380802,0.2865199558648768,2.6029177607852807,150000.0,1.3914988931
2,0.23980443076260524,0.023529714083969283,139.69901114266332,1349.0,1112.0,6748.0,-19.684940854487824,0.4122347681882941,3.191498878550276,300000.0,1.3531960947
3,0.1603911526294124,0.018416426117528684,135.40880412665007,1594.0,1089.0,6259.0,-16.344410840666782,0.36742405596783084,2.68104963857972,450000.0,1.3137978019
4,0.17789649262389562,0.012968834751963176,123.4429605432605,897.0,1078.0,6230.0,-19.448758071005756,0.31920078600778246,2.7563529080969236,600000.0,1.2743995091
5,0.20156242953672998,0.01925699582467423,150.02991261837,1509.0,1345.0,6436.0,-13.75167087088259,0.3954655677140084,2.5521936657815276,750000.0,1.2360967106999998
6,0.19426689170983547,0.011210334708682356,152.25261597560777,1732.0,870.0,6413.0,-16.000647830467294,0.2989201661926485,2.7732798271148327,900000.0,1.1967984179
7,0.22594508062112714,0.008256239358011374,144.72578699749792,1659.0,956.0,5866.0,-14.810139628366864,0.1953158395787122,1.9702783963766124,1050000.0,1.1584956195
8,0.20430548829478762,0.03028375118370202,144.63905283686597,1319.0,1191.0,7254.0,-20.138417171861704,0.535535636538593,3.66676410425226,1200000.0,1.1190973267
9,0.15940429788177893,0.02157970628201175,139.77477308109064,1246.0,1448.0,6730.0,-17.83257681341649,0.4437311767890185,3.125796104157491,1350000.0,1.0796990339
10,0.14552367707294955,0.01662002444994869,134.80514192099605,1527.0,1216.0,6331.0,-14.512945654475534,0.3700403659016031,2.5708962516820666,1500000.0,1.0413962355
11,0.20220777582254734,0.054183000511894445,119.8589416356284,1391.0,897.0,7299.0,-29.75168887937937,0.7398961337640978,4.577254015853359,1650000.0,1.0019979426999999
12,0.20845777310246086,0.03220289235870855,130.001858766747,1224.0,1105.0,6873.0,-22.39729035881648,0.5168755024852715,3.783072686759248,1800000.0,0.9626996499200001
13,0.1393447168446507,0.021021496055695497,136.56544486173055,1077.0,1641.0,6521.0,-15.831800156650388,0.4957089359882895,3.0128517198303504,1950000.0,0.9243968515200001
